--- Stage 1: Flights Created ---
123 01Nov22 08:00 11:00 (2022_44) Weekday: 2
123 02Nov22 08:00 11:00 (2022_44) Weekday: 3
123 03Nov22 08:00 11:00 (2022_44) Weekday: 4
123 04Nov22 08:00 11:00 (2022_44) Weekday: 5
123 05Nov22 08:00 11:00 (2022_44) Weekday: 6
123 06Nov22 08:00 11:00 (2022_44) Weekday: 7
123 07Nov22 08:00 11:00 (2022_45) Weekday: 1
123 08Nov22 08:00 11:00 (2022_45) Weekday: 2
123 09Nov22 08:00 11:00 (2022_45) Weekday: 3
123 10Nov22 08:00 11:00 (2022_45) Weekday: 4
123 11Nov22 08:00 11:00 (2022_45) Weekday: 5
123 12Nov22 08:00 11:00 (2022_45) Weekday: 6
123 13Nov22 08:00 11:00 (2022_45) Weekday: 7
123 14Nov22 08:00 11:00 (2022_46) Weekday: 1
123 15Nov22 08:00 11:00 (2022_46) Weekday: 2
123 16Nov22 08:00 11:00 (2022_46) Weekday: 3
123 17Nov22 08:00 11:00 (2022_46) Weekday: 4
123 18Nov22 08:00 11:00 (2022_46) Weekday: 5
123 19Nov22 08:00 11:00 (2022_46) Weekday: 6
123 20Nov22 08:00 11:00 (2022_46) Weekday: 7
123 21Nov22 08:00 11:00 (2022_47) Weekday: 1
123 22Nov22 08:00 11:00 (2022_47) Weekday: 2
123 23Nov22 08:00 11:00 (2022_47) Weekday: 3
123 24Nov22 08:00 11:00 (2022_47) Weekday: 4
123 25Nov22 08:00 11:00 (2022_47) Weekday: 5
123 26Nov22 08:00 11:00 (2022_47) Weekday: 6
123 27Nov22 08:00 11:00 (2022_47) Weekday: 7
123 28Nov22 08:00 11:00 (2022_48) Weekday: 1
123 29Nov22 08:00 11:00 (2022_48) Weekday: 2
123 30Nov22 08:00 11:00 (2022_48) Weekday: 3
123 01Dec22 08:00 11:00 (2022_48) Weekday: 4
123 02Dec22 08:00 11:00 (2022_48) Weekday: 5
123 03Dec22 08:00 11:00 (2022_48) Weekday: 6
123 04Dec22 08:00 11:00 (2022_48) Weekday: 7
123 05Dec22 08:00 11:00 (2022_49) Weekday: 1
123 06Dec22 08:00 11:00 (2022_49) Weekday: 2
123 07Dec22 08:00 11:00 (2022_49) Weekday: 3
123 08Dec22 08:00 11:00 (2022_49) Weekday: 4
123 09Dec22 08:00 11:00 (2022_49) Weekday: 5
123 10Dec22 08:00 11:00 (2022_49) Weekday: 6
123 11Dec22 08:00 11:00 (2022_49) Weekday: 7
123 12Dec22 08:00 11:00 (2022_50) Weekday: 1
123 13Dec22 08:00 11:00 (2022_50) Weekday: 2
123 14Dec22 08:00 11:00 (2022_50) Weekday: 3
123 15Dec22 08:00 11:00 (2022_50) Weekday: 4
123 16Dec22 08:00 11:00 (2022_50) Weekday: 5
123 17Dec22 08:00 11:00 (2022_50) Weekday: 6
123 18Dec22 08:00 11:00 (2022_50) Weekday: 7
123 19Dec22 08:00 11:00 (2022_51) Weekday: 1
123 20Dec22 08:00 11:00 (2022_51) Weekday: 2
123 21Dec22 08:00 11:00 (2022_51) Weekday: 3
123 22Dec22 08:00 11:00 (2022_51) Weekday: 4
123 23Dec22 08:00 11:00 (2022_51) Weekday: 5
123 24Dec22 08:00 11:00 (2022_51) Weekday: 6
123 25Dec22 08:00 11:00 (2022_51) Weekday: 7
123 26Dec22 08:00 11:00 (2022_52) Weekday: 1
123 27Dec22 08:00 11:00 (2022_52) Weekday: 2
123 28Dec22 08:00 11:00 (2022_52) Weekday: 3
123 29Dec22 08:00 11:00 (2022_52) Weekday: 4
123 30Dec22 08:00 11:00 (2022_52) Weekday: 5
123 31Dec22 08:00 11:00 (2022_52) Weekday: 6
123 01Jan23 08:00 11:00 (2022_52) Weekday: 7
123 02Jan23 08:00 11:00 (2023_1) Weekday: 1
123 03Jan23 08:00 11:00 (2023_1) Weekday: 2
123 04Jan23 08:00 11:00 (2023_1) Weekday: 3
123 05Jan23 08:00 11:00 (2023_1) Weekday: 4
123 06Jan23 08:00 11:00 (2023_1) Weekday: 5
123 07Jan23 08:00 11:00 (2023_1) Weekday: 6
123 08Jan23 08:00 11:00 (2023_1) Weekday: 7
123 09Jan23 08:00 11:00 (2023_2) Weekday: 1
123 10Jan23 08:00 11:00 (2023_2) Weekday: 2
123 11Jan23 08:00 11:00 (2023_2) Weekday: 3
123 12Jan23 08:00 11:00 (2023_2) Weekday: 4
123 13Jan23 08:00 11:00 (2023_2) Weekday: 5
123 14Jan23 08:00 11:00 (2023_2) Weekday: 6
123 15Jan23 08:00 11:00 (2023_2) Weekday: 7
123 16Jan23 08:00 11:00 (2023_3) Weekday: 1
123 17Jan23 08:00 11:00 (2023_3) Weekday: 2
123 18Jan23 08:00 11:00 (2023_3) Weekday: 3
123 19Jan23 08:00 11:00 (2023_3) Weekday: 4
123 20Jan23 08:00 11:00 (2023_3) Weekday: 5
123 21Jan23 08:00 11:00 (2023_3) Weekday: 6
123 22Jan23 08:00 11:00 (2023_3) Weekday: 7
123 23Jan23 08:00 11:00 (2023_4) Weekday: 1
123 24Jan23 08:00 11:00 (2023_4) Weekday: 2
123 25Jan23 08:00 11:00 (2023_4) Weekday: 3
123 26Jan23 08:00 11:00 (2023_4) Weekday: 4
123 27Jan23 08:00 11:00 (2023_4) Weekday: 5
123 28Jan23 08:00 11:00 (2023_4) Weekday: 6
123 29Jan23 08:00 11:00 (2023_4) Weekday: 7
123 30Jan23 08:00 11:00 (2023_5) Weekday: 1
123 31Jan23 08:00 11:00 (2023_5) Weekday: 2
123 01Feb23 08:00 11:00 (2023_5) Weekday: 3
123 02Feb23 08:00 11:00 (2023_5) Weekday: 4
123 03Feb23 08:00 11:00 (2023_5) Weekday: 5
123 04Feb23 08:00 11:00 (2023_5) Weekday: 6
123 05Feb23 08:00 11:00 (2023_5) Weekday: 7
123 06Feb23 08:00 11:00 (2023_6) Weekday: 1
123 07Feb23 08:00 11:00 (2023_6) Weekday: 2
123 08Feb23 08:00 11:00 (2023_6) Weekday: 3
123 09Feb23 08:00 11:00 (2023_6) Weekday: 4
123 10Feb23 08:00 11:00 (2023_6) Weekday: 5
123 11Feb23 08:00 11:00 (2023_6) Weekday: 6
123 12Feb23 08:00 11:00 (2023_6) Weekday: 7
123 13Feb23 08:00 11:00 (2023_7) Weekday: 1
123 14Feb23 08:00 11:00 (2023_7) Weekday: 2
123 15Feb23 08:00 11:00 (2023_7) Weekday: 3
123 16Feb23 08:00 11:00 (2023_7) Weekday: 4
123 17Feb23 08:00 11:00 (2023_7) Weekday: 5
123 18Feb23 08:00 11:00 (2023_7) Weekday: 6
123 19Feb23 08:00 11:00 (2023_7) Weekday: 7
123 20Feb23 08:00 11:00 (2023_8) Weekday: 1
123 21Feb23 08:00 11:00 (2023_8) Weekday: 2
123 22Feb23 08:00 11:00 (2023_8) Weekday: 3
123 23Feb23 08:00 11:00 (2023_8) Weekday: 4
123 24Feb23 08:00 11:00 (2023_8) Weekday: 5
123 25Feb23 08:00 11:00 (2023_8) Weekday: 6
123 26Feb23 08:00 11:00 (2023_8) Weekday: 7
123 27Feb23 08:00 11:00 (2023_9) Weekday: 1
123 28Feb23 08:00 11:00 (2023_9) Weekday: 2
123 01Mar23 08:00 11:00 (2023_9) Weekday: 3
123 02Mar23 08:00 11:00 (2023_9) Weekday: 4
